industry,level,level,line_code,value
Information media & telecommunications,1,2,D0401.01,36
Publishing,2,3,D0401.01,30
Motion picture,2,3,D0401.01,0
Telecommunications,2,3,D0401.01,3
Financial & insurance services,1,2,D0401.01,33
Finance,2,3,D0401.01,9
Insurance,2,3,D0401.01,0
Auxiliary,2,3,D0401.01,24
"Rental, hiring, & real estate services",1,2,D0401.01,84
"Professional, scientific, & technical services",1,2,D0401.01,327
Computer systems design,2,3,D0401.01,30
Other professional scientific,2,3,D0401.01,300
Administrative & support services,1,2,D0401.01,132
Education & training,1,2,D0401.01,84
Health care & social assistance,1,2,D0401.01,147
Arts & recreation services,1,2,D0401.01,30
Other services,1,2,D0401.01,114
total,0,1,D0401.01,2994
total,0,1,D0401.02,19332
total,0,1,D0401.02,4440
total,0,1,D0401.02,1332
total,0,1,D0401.02,1125
"Agriculture, forestry, & fishing",1,2,D0401.02,2037
Agriculture,2,3,D0401.02,1401
Commercial fishing,2,3,D0401.02,30
Forestry & logging,2,3,D0401.02,138
"Agriculture, forestry, & fishing support services",2,3,D0401.02,468
Mining,1,2,D0401.02,60
Manufacturing,1,2,D0401.02,3309
"Food, beverage, & tobacco",2,3,D0401.02,711
"Textile, clothing, footwear, & leather",2,3,D0401.02,174
Wood & paper product,2,3,D0401.02,303
"Printing, publishing, & recorded media",2,3,D0401.02,141
"Petroleum, coal, chemical, & associated product",2,3,D0401.02,249
Non-metallic mineral product,2,3,D0401.02,99
Metal product,2,3,D0401.02,591
Transport and industrial machinery & equipment,2,3,D0401.02,651
Other machinery & equipment,2,3,D0401.02,153
Other manufacturing,2,3,D0401.02,234
"Electricity, gas, water, & waste services",1,2,D0401.02,81
Construction,1,2,D0401.02,3660
Wholesale trade,1,2,D0401.02,1857
Machinery & equipment wholesaling,2,3,D0401.02,633
Other wholesale trade,2,3,D0401.02,1221
Retail trade,1,2,D0401.02,3279
Accommodation & food services,1,2,D0401.02,3195
"Transport, postal, & warehousing",1,2,D0401.02,1008
Information media & telecommunications,1,2,D0401.02,216
Publishing,2,3,D0401.02,57
Motion picture,2,3,D0401.02,81
Telecommunications,2,3,D0401.02,72
Financial & insurance services,1,2,D0401.02,303
Finance,2,3,D0401.02,102
Insurance,2,3,D0401.02,15
Auxiliary,2,3,D0401.02,186
"Rental, hiring, & real estate services",1,2,D0401.02,531
"Professional, scientific, & technical services",1,2,D0401.02,2646
Computer systems design,2,3,D0401.02,414
Other professional scientific,2,3,D0401.02,2232
Administrative & support services,1,2,D0401.02,918
Education & training,1,2,D0401.02,486
Health care & social assistance,1,2,D0401.02,1668
Arts & recreation services,1,2,D0401.02,234
